"地域別等","漁船総隻数","無動力漁船隻数","船外機付漁船隻数","動力漁船隻数_計","動力漁船隻数_１トン未満","動力漁船隻数_１～３","動力漁船隻数_３～５","動力漁船隻数_５～10","動力漁船隻数_10～20","動力漁船隻数_20～30","動力漁船隻数_30～50","動力漁船隻数_50～100","動力漁船隻数_100～150","動力漁船隻数_150～200","動力漁船隻数_200～350","動力漁船隻数_350～500","動力漁船隻数_500～1,000","動力漁船隻数_1,000～3,000","動力漁船隻数_3,000トン以上"
"和歌山県（太平洋南区）_白浜町_日置"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"," x"
"和歌山県（太平洋南区）_すさみ町","98.0"," -","4.0","94.0","12.0","5.0","15.0","61.0","1.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_すさみ町_すさみ","98.0"," -","4.0","94.0","12.0","5.0","15.0","61.0","1.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_那智勝浦町","233.0"," -","84.0","149.0","33.0","54.0","32.0","25.0","5.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_那智勝浦町_浦神","72.0"," -","32.0","40.0","1.0","23.0","8.0","8.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_那智勝浦町_勝浦","79.0"," -","26.0","53.0","9.0","16.0","15.0","10.0","3.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_那智勝浦町_那智","44.0"," -","24.0","20.0","4.0","12.0","3.0","1.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_那智勝浦町_宇久井","38.0"," -","2.0","36.0","19.0","3.0","6.0","6.0","2.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_太地町","92.0"," -","29.0","63.0","11.0","26.0","10.0","9.0","6.0"," -","1.0"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_太地町_太地","92.0"," -","29.0","63.0","11.0","26.0","10.0","9.0","6.0"," -","1.0"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町","532.0","4.0","169.0","359.0","37.0","116.0","85.0","112.0","9.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_串本","230.0","1.0","57.0","172.0","16.0","45.0","44.0","62.0","5.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_大島","66.0"," -","8.0","58.0","7.0","23.0","13.0","13.0","2.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_須江","49.0"," -","14.0","35.0","5.0","12.0","7.0","9.0","2.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_樫野","34.0","2.0","18.0","14.0","2.0","5.0","2.0","5.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_西向","23.0","1.0","6.0","16.0","2.0","7.0","1.0","6.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_古座","62.0"," -","20.0","42.0","2.0","11.0","14.0","15.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_津荷","13.0"," -","10.0","3.0"," -","2.0","1.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"和歌山県（太平洋南区）_串本町_下田原","55.0"," -","36.0","19.0","3.0","11.0","3.0","2.0"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"
"全国","152998.0","3779.0","67572.0","81647.0","4440.0","22196.0","32899.0","13231.0","7844.0","54.0","74.0","255.0","161.0","162.0","111.0","212.0","7.0","1.0"," -"
